question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
1,2022,NEET PG,Anatomy,Abdominal Anatomy,Peritoneal ligaments development,The structure marked A in the image below gives rise to which of the following structures?,Gastrosplenic ligament,Lienorenal ligament,Falciform ligament,Gastrophrenic ligament,3,Anatomy,Abdominal Anatomy,"['Abdominal Anatomy', 'Abdomen', 'Embryology']",llm,Peritoneal folds embryology,anatomy_structure,[],collegedunia,,,,,,,,
2,2022,NEET PG,Anatomy,Lower Limb,A patient underwent surgery for the varicose vein. He now complains of sensory loss over the,medial aspect of the leg and foot. Which of the following nerves is most likely to be injured?,Sural nerve,Superficial peroneal nerve,Deep peroneal nerve,Saphenous nerve,4,Anatomy,Lower Limb,['Lower Limb'],,,,[],neetfmgeplans,,,,,,,,
3,2022,NEET PG,Anatomy,Microscopic Anatomy,Organ histology identification,Identify the given structure?,Lymph node,Glomerulus,Spleen,Pancreatic islet cells,4,Anatomy,Microscopic Anatomy,"['Microscopic Anatomy', 'Histology']",llm,Histology image identification,image_identification,[],neetfmgeplans,,,,,,,,
4,2022,NEET PG,Anaesthesia,Airway Devices,Oxygen mask identification,Identify the mask in the image used for patients with COVID-19 injection.,Venturi mask,Hudson mask,Nebuliser,Non-rebreathing mask,4,Anaesthesia,Airway Devices,"['Airway Devices', 'Oxygen Therapy', 'Airway Management']",llm,Oxygen delivery devices,image_identification,[],neetfmgeplans,,,,,,,,
5,2022,NEET PG,Biochemistry,Carbohydrate Metabolism,"A patient from a Mediterranean country visits Africa, where he develops malaria. He is treated","[PAGE 4]
with primaquine and later develops hemolytic anemia. Deficiency of an enzyme involved in
which of the following pathways could be the cause?",Glycolysis,Gluconeogenesis,Hexose monophosphate (HMP) pathway,Luebering-Rapoport pathway,3,Biochemistry,Carbohydrate Metabolism,['Carbohydrate Metabolism'],,,,[],,,,,,,,,
6,2022,NEET PG,Dermatology,Infectious Diseases,A patient presents to you with multiple anogenital warts. The biopsy of these lesions showed,"squamous atypia. Which of the following human papillomavirus types are considered
high-risk?",HPV 2,HPV 18,HPV 6,HPV 11,2,Dermatology,Infectious Diseases,['Infectious Diseases'],,,,[],,,,,,,,,
7,2022,NEET PG,ENT,Ear,A 5-year-old child presents with reduced hearing for the past 2-3 months. The otoscopy finding,is given below. What is the most likely diagnosis?,Myringitis bullosa,Serous otitis media,Acute otitis media,Pneumo Tympanum,2,ENT,Ear,['Ear'],,,,[],neetfmgeplans,,,,,,,,
8,2022,NEET PG,ENT,Ear,Identify the structure given in the image.,[PAGE 6],Malleus,Incus,Stapes,Vomer,2,ENT,Ear,['Ear'],,,,[],,,,,,,,,
9,2022,NEET PG,Forensic Medicine,Toxicology,"A 56-year-old man presents with fatigue, pallor, and abdominal pain. He reports memory loss","and reveals that he works at a battery recycling plant. On examination, a noticeable foot drop
in both lower extremities is seen. Laboratory testing shows elevated blood lead levels. Which
enzyme is affected in the given scenario?",Aminolevulinic acid (ALA) dehydratase,Uroporphyrinogen III,Uroporphyrinogen I,Pyruvate dehydrogenase,1,Forensic Medicine,Toxicology,['Toxicology'],,,,[],,,,,,,,,
10,2022,NEET PG,Forensic Medicine,Toxicology,A patient came with complaints of hair loss. His wife mentions that she has noticed some,"behavioral changes. The doctor notices a loss of eyebrows on the lateral side. He then
concludes by examining the nails. What is the type of poisoning in this case?",Thallium,Arsenic,Mercury,Lead,1,Forensic Medicine,Toxicology,['Toxicology'],,,,[],,,,,,,,,
11,2022,NEET PG,Medicine,Neurology,The cerebrospinal fluid (CSF) specimen of a patient is shown below along with the,"microscopy. The report shows mononuclear cytosis, elevated proteins, and low sugars. Which
of the following is the likely etiology?",Tuberculous meningitis,Aseptic meningitis,Bacterial meningitis,Chemical meningitis,1,Medicine,Neurology,['Neurology'],,,,[],,,,,,,,,
12,2022,NEET PG,Medicine,Neurology,"A female patient presents to you with a unilateral headache. It is associated with nausea,","photophobia, and phonophobia. What is the drug of choice for acute management?",Flunarizine,Sumatriptan,Propranolol,Topiramate,2,Medicine,Neurology,['Neurology'],,,,[],neetfmgeplans,,,,,,,,
13,2022,NEET PG,Medicine,Rheumatology,"A patient presents to you with fever, night sweats, ptosis, and bilateral facial nerve palsy.","Investigations showed leukocytosis and bilateral hilar lymphadenopathy. Which of the
following is the most likely diagnosis?",Sarcoidosis,Tuberculosis,Lymphoma,Hypersensitive pneumonitis,1,Medicine,Rheumatology,['Rheumatology'],,,,[],,,,,,,,,
